gppd_idnr,elevation_meters
AUS0000417,174
AUS0000146,12
AUS0000142,200
AUS0000174,13
AUS0000357,15
AUS0000365,179
AUS0000346,10
AUS0000308,45
AUS0000424,47
AUS0000104,1139
AUS0000122,72
AUS0000408,518
AUS0000333,37
AUS0000450,319
AUS0000446,368
AUS0000448,64
AUS0000163,431
AUS0000249,426
AUS0000164,265
AUS0000054,266
AUS0000108,119
AUS0000213,545
AUS0000207,427
AUS0000061,402
AUS0000165,15
AUS0000443,39
AUS0000281,954
AUS0000034,615
AUS0000393,275
AUS0000392,276
AUS0000214,270
AUS0000215,275
AUS0000375,23
AUS0000475,251
AUS0000216,218
AUS0000387,13
AUS0000282,12
AUS0000107,607
AUS0000106,323
AUS0000420,29
AUS0000444,349
AUS0000198,52
AUS0000199,549
AUS0000094,6
AUS0000013,718
AUS0000316,77
AUS0000326,46
AUS0000320,332
AUS0000314,80
AUS0000248,8
AUS0000283,119
AUS0000476,175
AUS0000166,395
AUS0000016,321
AUS0000284,880
AUS0000167,165
AUS0000411,8
AUS0000224,67
AUS0000235,6
AUS0000255,548
AUS0000130,39
AUS0000229,366
AUS0000228,369
AUS0000236,78
AUS0000237,5
AUS0000426,23
AUS0000012,465
AUS0000258,197
AUS0000200,79
AUS0000201,46
AUS0000053,10
AUS0000074,23
AUS0000247,10
AUS0000225,597
AUS0000121,366
AUS0000325,23
AUS0000206,17
AUS0000238,99
AUS0000345,85
AUS0000311,17
AUS0000239,8
AUS0000202,165
AUS0000327,267
AUS0000285,63
AUS0000141,47
AUS0000115,73
AUS0000120,122
AUS0000317,22
AUS0000073,39
AUS0000358,17
AUS0000060,5
AUS0000072,17
AUS0000147,331
AUS0000254,592
AUS0000129,474
AUS0000095,378
AUS0000407,329
AUS0000328,15
AUS0000017,108
AUS0000286,21
AUS0000005,294
AUS0000456,246
AUS0000245,20
AUS0000458,464
AUS0000096,159
AUS0000359,125
AUS0000374,20
AUS0000071,39
AUS0000318,10
AUS0000168,78
AUS0000347,40
AUS0000052,144
AUS0000010,57
AUS0000033,36
AUS0000059,71
AUS0000226,407
AUS0000148,43
AUS0000149,54
AUS0000097,9
AUS0000373,543
AUS0000287,291
AUS0000288,14
AUS0000356,49
AUS0000138,12
AUS0000169,476
AUS0000171,465
AUS0000170,459
AUS0000119,357
AUS0000018,117
AUS0000344,170
AUS0000230,306
AUS0000253,371
AUS0000289,7
AUS0000058,173
AUS0000011,116
AUS0000070,41
AUS0000118,1039
AUS0000290,22
AUS0000069,210
AUS0000240,12
AUS0000241,7
AUS0000291,188
AUS0000032,18
AUS0000128,278
AUS0000310,19
AUS0000292,1007
AUS0000293,671
AUS0000031,421
AUS0000117,356
AUS0000425,8
AUS0000133,363
AUS0000294,211
AUS0000470,556
AUS0000295,15
AUS0000098,115
AUS0000175,13
AUS0000445,8
AUS0000204,58
AUS0000203,55
AUS0000002,226
AUS0000296,884
AUS0000369,206
AUS0000297,67
AUS0000262,311
AUS0000050,555
AUS0000004,14
AUS0000019,529
AUS0000116,184
AUS0000260,11
AUS0000451,714
AUS0000298,22
AUS0000205,377
AUS0000105,486
AUS0000030,48
AUS0000299,57
AUS0000068,61
AUS0000302,227
AUS0000140,298
AUS0000447,543
AUS0000384,519
AUS0000227,500
AUS0000322,475
AUS0000051,1088
AUS0000242,15
AUS0000243,6
AUS0000057,63
AUS0000150,85
AUS0000406,197
AUS0000067,199
AUS0000001,19
AUS0000029,782
AUS0000028,868
AUS0000354,23
AUS0000389,297
AUS0000217,296
AUS0000026,373
AUS0000066,25
AUS0000172,11
AUS0000100,66
AUS0000020,13
AUS0000101,128
AUS0000173,32
AUS0000257,504
AUS0000218,16
WRI1005149,244
WRI1005150,266
WRI1005153,494
WRI1005154,270
WRI1005155,543
WRI1005159,341
WRI1005160,606
WRI1019146,154
WRI1005164,393
WRI1005165,678
WRI1005166,450
WRI1019130,595
WRI1005167,431
WRI1005168,681
WRI1019128,155
WRI1005169,405
WRI1005170,1276
WRI1005171,271
WRI1019129,153
WRI1005174,578
WRI1005177,393
WRI1005179,168
WRI1005185,678
WRI1005186,678
WRI1005188,284
WRI1005900,689
WRI1005905,770
WRI1005907,525
WRI1005908,874
WRI1005910,1909
WRI1005914,643
WRI1005191,1687
WRI1005192,1612
WRI1005190,815
WRI1005193,1053
WRI1005194,815
WRI1005195,461
WRI1019153,1023
WRI1005197,532
WRI1005198,604
WRI1005199,482
WRI1005200,613
WRI1005201,612
WRI1005203,286
WRI1005204,538
WRI1005205,374
WRI1005256,880
WRI1019155,999
WRI1005207,1672
WRI1005206,1672
WRI1005209,803
WRI1005210,705
WRI1005211,208
WRI1005212,317
WRI1019132,5
WRI1005215,1005
WRI1005216,775
WRI1005217,479
WRI1019156,1743
WRI1005218,259
WRI1005219,259
WRI1005221,301
WRI1005222,511
WRI1005223,419
WRI1005224,457
WRI1005225,1006
WRI1005227,1669
WRI1005231,290
WRI1019158,669
WRI1019159,682
WRI1005232,486
WRI1005233,899
WRI1005238,632
WRI1005239,362
WRI1005240,594
WRI1019147,158
WRI1005243,1049
WRI1005244,568
WRI1005245,514
WRI1005246,437
WRI1005247,582
WRI1005248,292
WRI1005249,666
WRI1005253,350
WRI1019163,451
WRI1005254,693
WRI1005255,880
WRI1005257,552
WRI1019160,1048
WRI1005267,153
WRI1005258,495
WRI1019161,555
WRI1005260,592
WRI1005261,1147
WRI1005262,233
WRI1005264,328
WRI1005265,525
WRI1005266,332
WRI1005268,194
WRI1005270,162
WRI1005271,162
WRI1005269,186
WRI1018682,233
WRI1002178,-21
WRI1002179,85
WRI1002181,-18
WRI1002182,-18
WRI1002186,1065
WRI1002188,-8
WRI1002189,46
WRI1002190,37
WRI1002192,-16
WRI1002197,147
WRI1002198,-18
WRI1002199,-15
WRI1002201,19
WRI1002203,106
WRI1023714,9
WRI1023713,3
WRI1023718,17
WRI1023716,5
WRI1023712,6
WRI1023715,16
WRI1023717,6
WRI1029201,47
WRI1029202,17
WRI1029203,13
WRI1029204,11
WRI1029205,6
WRI1029206,34
WRI1029207,14
WRI1029208,20
WRI1029209,4
WRI1029210,22
WRI1029214,3
WRI1029213,30
WRI1029216,11
WRI1029217,18
WRI1029267,8
WRI1029220,23
WRI1029221,23
WRI1029222,11
WRI1029223,12
WRI1029224,12
WRI1029225,20
WRI1029226,13
WRI1029227,5
WRI1029228,15
WRI1029229,5
WRI1029230,21
WRI1029231,3
WRI1029232,7
WRI1029233,9
WRI1029234,9
WRI1029236,0
WRI1029244,15
WRI1029237,8
WRI1029238,11
WRI1029239,8
WRI1029240,7
WRI1029241,7
WRI1029243,36
WRI1029245,17
WRI1029247,13
WRI1029248,10
WRI1029249,8
WRI1029250,14
WRI1029251,11
WRI1029253,6
WRI1029254,15
WRI1029257,9
WRI1029258,20
WRI1029255,12
WRI1029256,7
WRI1029260,17
WRI1029262,56
WRI1029263,6
WRI1029264,14
WRI1029265,14
GEODB0043047,151
GEODB0043046,159
GEODB0043034,130
GEODB0043035,142
GEODB0043044,165
GEODB0043051,148
GEODB0043036,185
GEODB0043037,225
GEODB0043040,267
GEODB0043039,176
GEODB0043045,171
GEODB0043052,164
GEODB0043050,136
GEODB0043049,166
GEODB0043043,131
GEODB0043048,150
GEODB0043041,173
WRI1002206,17
WRI1002208,68
WRI1002210,72
WRI1002204,14
WRI1002205,14
WRI1002207,111
WRI1002209,6
WRI1002211,28
WRI1002217,13
WRI1002218,546
WRI1002212,0
WRI1002213,13
WRI1002214,13
WRI1002219,439
WRI1002221,270
WRI1002223,12
WRI1002224,22
WRI1002225,22
WRI1002226,22
WRI1002222,22
WRI1002227,9
WRI1002229,225
WRI1002231,12
WRI1002233,197
WRI1002234,8
WRI1002235,6
WRI1002236,69
WRI1002237,72
WRI1002239,78
WRI1002240,64
WRI1002241,51
WRI1002242,59
WRI1002244,7
WRI1002246,13
WRI1002243,48
WRI1002245,78
WRI1002252,12
WRI1002253,65
WRI1002255,50
WRI1002250,341
WRI1002258,102
WRI1002259,3
WRI1002260,0
WRI1002263,245
WRI1002264,13
WRI1002265,9
WRI1002266,5
WRI1002267,36
WRI1002270,5
WRI1002268,25
WRI1002271,25
WRI1002275,73
WRI1002277,73
WRI1002273,0
WRI1002274,0
WRI1002282,6
WRI1002280,17
WRI1002281,86
WRI1002287,0
WRI1002284,9
WRI1002285,6
WRI1002286,6
WRI1002288,8
WRI1002289,8
WRI1002290,7
WRI1002291,7
WRI1023015,7
WRI1023016,13
GEODB0040473,1301
GEODB0040472,2025
GEODB0003919,528
GEODB0043900,979
GEODB0040474,1472
GEODB0044762,2749
GEODB0044740,3592
GEODB0041946,354
GEODB0044748,1210
GEODB0044736,250
GEODB0044750,1958
GEODB0044746,1908
GEODB0044721,2636
GEODB0044741,2901
GEODB0044735,3993
GEODB0044720,1222
GEODB0042663,414
GEODB0044747,1476
GEODB0044749,943
GEODB0044756,3965
GEODB0044743,2312
GEODB0044755,406
GEODB0044722,1780
GEODB0044742,2626
GEODB0044739,3967
GEODB0044734,2615
GEODB0044752,1461
GEODB0044738,4354
GEODB0044772,285
GEODB0044764,6
GEODB0044805,301
GEODB0044793,944
GEODB0044771,159
GEODB0044767,263
GEODB0044811,371
GEODB0044813,375
GEODB0044792,397
GEODB0044818,250
GEODB0044773,76
GEODB0044809,53
GEODB0044808,161
GEODB0044770,301
GEODB0044766,121
GEODB0044768,328
GEODB0044806,283
GEODB0044791,215
GEODB0044794,169
GEODB0044765,341
WRI1023017,950
WRI1023018,998
BRA0000012,87
BRA0028642,645
BRA0028919,602
BRA0031076,612
BRA0032153,728
